Manufacturer|Model|Screen size|CPU Manufacturer|CPU Model|RAM Size|Storage size|Storage Type|System|Color
Dell|Inspiron 5770|17.3|Intel|Core i5 8250U|8|128|SSD|Windows 10|Silver
HP|250 G6|15.6|Intel|Core i5 7200U|4|1|HDD|Windows 10|Gray
HP|ProBook 450|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Black
Asus|X540UA-DM186|15.6|Intel|Core i3 6006U|4|1|HDD|Linux|Gold
Dell|Inspiron 7577|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Gray
Asus|X542UQ-GO005|15.6|Intel|Core i5 7200U|8|1|HDD|Linux|Silver
Acer|Aspire A515-51G|15.6|Intel|Core i5 8250U|4|256|SSD|Windows 10|White
Dell|Inspiron 7773|17.3|Intel|Core i5 8250U|12|1|HDD|Windows 10|Blue
Apple|MacBook Pro|13.3|Intel|Core i5|8|256|SSD|macOS|Blue
Lenovo|IdeaPad 320-15ISK|15.6|Intel|Core i3 6006U|4|128|SSD|No OS|Black
Asus|Rog Strix|17.3|AMD|Ryzen 1700|8|256|SSD|Windows 10|Black
Dell|Inspiron 3567|15.6|Intel|Core i5 7200U|4|256|SSD|Windows 10|White
Asus|X751NV-TY001T|17.3|Intel|Pentium Quad Core N4200|4|1|HDD|Windows 10|Gold
Lenovo|Yoga Book|10.1|Intel|Atom x5-Z8550|4|64|Flash|Android|Gold
Acer|Aspire A515-51G|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Silver
HP|255 G6|15.6|AMD|A6-Series 9220|4|256|SSD|Windows 10|Blue
HP|ProBook 430|13.3|Intel|Core i7 8550U|8|512|SSD|Windows 10|Gray
Acer|Aspire 3|15.6|Intel|Core i3 7100U|4|1|HDD|Windows 10|Green
Dell|Inspiron 3576|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|White
HP|15-bs002nv|15.6|Intel|Core i3 6006U|4|128|SSD|Windows 10|Green
Asus|VivoBook Max|15.6|Intel|Core i5 7200U|4|256|SSD|Windows 10|Gray
MSI|GS73VR 7RG|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Blue
Asus|X541UA-DM1897|15.6|Intel|Core i3 6006U|4|256|SSD|Linux|Blue
Dell|Inspiron 5770|17.3|Intel|Core i7 8550U|16|256|SSD|Windows 10|Gold
Dell|Vostro 5471|14.0|Intel|Core i5 8250U|8|256|SSD|Windows 10|Green
Lenovo|IdeaPad 520S-14IKB|14.0|Intel|Core i3 7130U|8|256|SSD|No OS|Silver
Asus|UX410UA-GV350T|14.0|Intel|Core i5 8250U|8|256|SSD|Windows 10|Green
HP|250 G6|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Black
Asus|ZenBook Pro|15.6|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|Silver
HP|250 G6|15.6|Intel|Core i3 6006U|4|500|HDD|Windows 10|Blue
HP|Stream 14-AX040wm|14.0|Intel|Celeron Dual Core N3060|4|32|SSD|Windows 10|White
Lenovo|V310-15ISK|15.6|Intel|Core i5 7200U|4|1|HDD|Windows 10|Green
Asus|FX753VE-GC093|17.3|Intel|Core i7 7700HQ|12|1|HDD|Linux|Silver
Microsoft|Surface Laptop|13.5|Intel|Core i5 7200U|4|128|SSD|Windows 10 S|White
Dell|Inspiron 5370|13.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
Dell|Inspiron 5570|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Silver
MSI|GL72M 7RDX|17.3|Intel|Core i5 7300HQ|8|128|SSD|Windows 10|Black
Acer|Aspire E5-475|14.0|Intel|Core i3 6006U|8|1|HDD|Windows 10|Black
Asus|FX503VD-E4022T|15.6|Intel|Core i7 7700HQ|8|1|HDD|Windows 10|White
Lenovo|IdeaPad 320-15IKBN|15.6|Intel|Core i5 7200U|8|2|HDD|No OS|Silver
Dell|Inspiron 5570|15.6|Intel|Core i7 8550U|8|128|SSD|Windows 10|Silver
Acer|Aspire A515-51G-32MX|15.6|Intel|Core i3 7130U|4|1|HDD|Windows 10|Gray
HP|ProBook 470|17.3|Intel|Core i5 8250U|8|128|SSD|Windows 10|Green
Dell|Latitude 5590|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Gray
Apple|MacBook 12|12.0|Intel|Core i5|8|512|SSD|macOS|Green
HP|ProBook 440|14.0|Intel|Core i5 8250U|8|256|SSD|Windows 10|Silver
Lenovo|IdeaPad 320-15AST|15.6|AMD|A6-Series 9220|4|128|SSD|Windows 10|Silver
Acer|Aspire 3|15.6|AMD|A9-Series 9420|4|1|HDD|Windows 10|Black
Dell|Inspiron 7577|15.6|Intel|Core i7 7700HQ|16|128|SSD|Windows 10|White
HP|Pavilion 15-CK000nv|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
HP|250 G6|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|White
Asus|FX503VM-E4007T|15.6|Intel|Core i7 7700HQ|16|128|SSD|Windows 10|Gray
Dell|XPS 13|13.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
Asus|FX550IK-DM018T|15.6|AMD|FX 9830P|8|1|HDD|Windows 10|Silver
Acer|Aspire 5|15.6|Intel|Core i7 8550U|8|1|HDD|Windows 10|Gold
HP|Probook 430|13.3|Intel|Core i7 8550U|16|512|SSD|Windows 10|Black
Dell|Inspiron 7577|15.6|Intel|Core i5 7300HQ|8|256|SSD|Windows 10|Blue
Asus|Zenbook UX430UA|14.0|Intel|Core i7 7500U|8|256|SSD|Windows 10|Silver
Acer|Spin 5|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Black
Dell|Inspiron 3567|15.6|Intel|Core i7 7500U|8|1|HDD|Linux|White
Dell|Inspiron 3567|15.6|Intel|Core i3 6006U|4|256|SSD|Linux|Gray
Asus|X541UV-DM1439T|15.6|Intel|Core i3 7100U|6|256|SSD|Windows 10|Gray
HP|Omen 15-ce007nv|15.6|Intel|Core i7 7700HQ|12|128|SSD|Windows 10|White
HP|15-bs017nv|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|Silver
HP|15-bw000nv|15.6|AMD|E-Series E2-9000e|4|500|HDD|Windows 10|Black
Dell|Inspiron 3576|15.6|Intel|Core i5 8250U|8|1|HDD|Linux|Blue
HP|Envy 13-ad009n|13.3|Intel|Core i7 7500U|8|256|SSD|Windows 10|Blue
Microsoft|Surface Laptop|13.5|Intel|Core i5 7200U|8|256|SSD|Windows 10 S|Black
HP|Pavilion 14-BK001nv|14.0|Intel|Core i5 7200U|6|256|SSD|Windows 10|Blue
Lenovo|Ideapad 310-15ISK|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|Silver
Asus|UX430UQ-GV209R|14.0|Intel|Core i7 7500U|8|256|SSD|Windows 10|Black
MSI|GP62M 7REX|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Gold
Lenovo|Thinkpad T470|14.0|Intel|Core i7 7500U|8|256|SSD|Windows 10|Silver
Asus|VivoBook S15|15.6|Intel|Core i7 8550U|16|256|SSD|Windows 10|Green
Dell|XPS 13|13.3|Intel|Core i7 7560U|8|256|SSD|Windows 10|Gray
Lenovo|ThinkPad Yoga|13.3|Intel|Core i5 7200U|8|256|SSD|Windows 10|Green
HP|Probook 440|14.0|Intel|Core i5 8250U|4|500|HDD|Windows 10|Gray
Dell|XPS 13|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Gold
HP|Spectre x360|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Green
HP|Probook 440|14.0|Intel|Core i7 8550U|8|512|SSD|Windows 10|Green
Dell|Inspiron 7570|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|White
Asus|X705UV-BX074T|17.3|Intel|Core i3 6006U|4|1|HDD|Windows 10|Gray
Asus|VivoBook S15|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Black
Acer|Spin 3|15.6|Intel|Core i3 7100U|6|1|HDD|Windows 10|Green
MSI|GS63VR 7RG|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|White
Lenovo|IdeaPad 320-15IKBN|15.6|Intel|Core i5 7200U|8|256|SSD|No OS|Silver
HP|Probook 470|17.3|Intel|Core i7 8550U|16|512|SSD|Windows 10|Green
Acer|Aspire 3|15.6|AMD|A9-Series 9420|4|256|SSD|Windows 10|Blue
HP|250 G6|15.6|Intel|Celeron Dual Core N3060|4|500|HDD|No OS|White
HP|Probook 440|14.0|Intel|Core i5 8250U|8|1|HDD|Windows 10|Black
Asus|E402WA-GA007T|14.0|AMD|E-Series 6110|4|64|SSD|Windows 10 S|Green
Dell|Inspiron 5770|17.3|Intel|Core i7 8550U|16|256|SSD|Windows 10|Gold
HP|ProBook 470|17.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Green
Dell|Inspiron 5567|15.6|Intel|Core i5 7200U|8|1|HDD|Windows 10|Gray
Dell|Inspiron 3567|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|White
Acer|Swift 3|14.0|Intel|Core i7 8550U|8|256|SSD|Windows 10|Gray
Acer|Aspire A515-51G-37JS|15.6|Intel|Core i3 7130U|4|256|SSD|Windows 10|White
HP|15-BS078nr|15.6|Intel|Core i7 7500U|8|1|HDD|Windows 10|Blue
HP|Probook 440|14.0|Intel|Core i7 8550U|8|256|SSD|Windows 10|White
Lenovo|V110-15IAP|15.6|Intel|Celeron Dual Core N3350|4|1|HDD|No OS|White
Asus|FX753VD-GC086T|17.3|Intel|Core i5 7300HQ|8|128|SSD|Windows 10|Gold
Lenovo|IdeaPad 320-15IKBN|15.6|Intel|Core i5 7200U|4|1|HDD|No OS|White
HP|Envy 13-AD007nv|13.3|Intel|Core i5 7200U|4|256|SSD|Windows 10|Blue
Acer|Aspire 5|17.3|Intel|Core i3 7130U|4|1|HDD|Windows 10|Gray
Lenovo|ThinkPad E480|14.0|Intel|Core i5 8250U|8|256|SSD|Windows 10|Gold
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i7 7700HQ|8|256|SSD|No OS|Gray
Toshiba|Satellite Pro|15.6|Intel|Core i5 6200U|4|500|HDD|Windows 10|Black
HP|255 G6|15.6|AMD|A6-Series 9220|4|256|SSD|Windows 10|Silver
Asus|ZenBook UX430UA|14.0|Intel|Core i7 8550U|8|256|SSD|Windows 10|Blue
HP|EliteBook Folio|12.5|Intel|Core M 6Y75|8|512|SSD|Windows 10|Green
Asus|X541NA|15.6|Intel|Celeron Dual Core N3350|4|1|HDD|Windows 10|White
MSI|GE72MVR 7RG|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Silver
Acer|Aspire A315-51|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|Gray
Dell|Inspiron 5577|15.6|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|White
Dell|Inspiron 7567|15.6|Intel|Core i7 7700HQ|8|1|Hybrid|Windows 10|Blue
Lenovo|V110-15IKB|15.6|Intel|Core i5 7200U|4|128|SSD|Windows 10|Blue
MSI|GE73VR 7RE|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Black
HP|EliteBook 840|14.0|Intel|Core i5 7500U|4|256|SSD|Windows 10|Green
HP|15-BS103nv|15.6|Intel|Core i5 8250U|6|256|SSD|Windows 10|Silver
Lenovo|Yoga 520-14IKB|14.0|Intel|Core i3 7100U|4|256|SSD|Windows 10|Gold
Asus|ZenBook Flip|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|White
Dell|Inspiron 5579|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Black
Toshiba|Satellite Pro|15.6|Intel|Core i3 6006U|4|500|HDD|Windows 10|Gray
Asus|X555BP-XX180T|15.6|AMD|A9-Series 9420|4|1|HDD|Windows 10|White
Acer|Aspire A517-51G|17.3|Intel|Core i5 8250U|4|256|SSD|Windows 10|White
Dell|Inspiron 3576|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Black
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Black
Acer|Aspire A315-31|15.6|Intel|Celeron Dual Core N3350|4|1|HDD|Windows 10|Black
MSI|GE63VR 7RE|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Silver
Acer|Aspire 3|15.6|Intel|Pentium Quad Core N4200|4|1|HDD|Windows 10|Gold
Dell|Inspiron 5577|15.6|Intel|Core i7 7700HQ|8|128|SSD|Windows 10|Green
Acer|Aspire A517-51G|17.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Silver
HP|ProBook 430|13.3|Intel|Core i5 8250U|4|500|HDD|Windows 10|Blue
Huawei|MateBook X|13.0|Intel|Core i5 7200U|8|256|SSD|Windows 10|Gold
HP|17-bs001nv|17.3|Intel|Core i5 7200U|6|2|HDD|Windows 10|Gray
Lenovo|IdeaPad 320-15AST|15.6|AMD|A6-Series 9220|4|500|HDD|No OS|Gold
Toshiba|Satellite Pro|15.6|Intel|Core i3 7100U|4|500|HDD|Windows 10|Gold
HP|ProBook 470|17.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Blue
Dell|Inspiron 3567|15.6|Intel|Core i3 7100U|8|1|HDD|Windows 10|Silver
Acer|Aspire A315-51|15.6|Intel|Core i3 6006U|4|128|SSD|Windows 10|Black
MSI|GT80S 6QF-074US|18.4|Intel|Core i7 6920HQ|32|512|SSD|Windows 10|Black
Lenovo|V310-15IKB|15.6|Intel|Core i5 7200U|8|128|SSD|Windows 10|White
HP|Spectre x360|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Black
Dell|Inspiron 5570|15.6|Intel|Core i7 8550U|16|256|SSD|Linux|Gray
Dell|XPS 13|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|White
Lenovo|Yoga 920-13IKB|13.9|Intel|Core i7 8550U|16|512|SSD|Windows 10|Green
Toshiba|Satellite Pro|15.6|Intel|Core i5 7200U|8|128|SSD|Windows 10|Blue
Xiaomi|Mi Notebook|15.6|Intel|Core i5 8250U|8|256|SSD|No OS|Gray
Dell|Inspiron 7773|17.3|Intel|Core i7 8550U|16|512|SSD|Windows 10|Blue
Dell|XPS 15|15.6|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|Gray
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i5 7300HQ|8|256|SSD|No OS|Gold
Acer|Swift 7|13.3|Intel|Core i5 7Y54|8|256|SSD|Windows 10|Silver
Dell|Inspiron 5770|17.3|Intel|Core i7 8550U|8|128|SSD|Windows 10|Gold
Lenovo|Thinkpad Yoga|14.0|Intel|Core i7 7500U|16|1|SSD|Windows 10|Gray
Vero|K147|14.0|Intel|Celeron Dual Core N3350|4|32|Flash|Windows 10|Green
Xiaomi|Mi Notebook|13.3|Intel|Core i5 7200U|8|256|SSD|No OS|Gray
Lenovo|IdeaPad 320-17IKBR|17.3|Intel|Core i5 8250U|8|256|SSD|No OS|Gold
Dell|Inspiron 5379|13.3|Intel|Core i7 8550U|8|1|HDD|Windows 10|Gray
HP|ProBook 470|17.3|Intel|Core i5 8250U|8|1|HDD|Windows 10|Blue
Razer|Blade Pro|17.3|Intel|Core i7 7820HK|32|1|SSD|Windows 10|Blue
HP|ProBook 430|13.3|Intel|Core i5 8250U|8|512|SSD|Windows 10|Green
HP|Omen 17-W295|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Green
HP|Probook 470|17.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Black
Dell|Inspiron 7577|15.6|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|Gray
Lenovo|V110-15ISK|15.6|Intel|Core i5 6200U|4|128|SSD|Windows 10|Silver
Acer|Aspire E5-576G|15.6|Intel|Core i7 7500U|8|1|HDD|Windows 10|Blue
Lenovo|Legion Y720-15IKB|15.6|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|White
Dell|Precision 7520|15.6|Intel|Xeon E3-1505M V6|16|256|SSD|Windows 10|Gray
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i7 7700HQ|16|512|SSD|No OS|Blue
Dell|Inspiron 3567|15.6|Intel|Core i3 7100U|6|1|HDD|Windows 10|Silver
Dell|XPS 13|13.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
Dell|XPS 13|13.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Gold
Lenovo|IdeaPad 320-15IKBN|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|White
Acer|Aspire 7|15.6|Intel|Core i7 7700HQ|8|1|HDD|Linux|Silver
Asus|ROG GL703VD-GC028T|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Green
HP|15-bs018nq|15.6|Intel|Core i3 6006U|4|500|HDD|No OS|Black
Lenovo|IdeaPad 320-15IKBN|15.6|Intel|Core i5 7200U|8|256|SSD|No OS|Gray
Huawei|MateBook X|13.0|Intel|Core i7 7500U|8|512|SSD|Windows 10|Green
Dell|Inspiron 5370|13.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Silver
Lenovo|IdeaPad 320-17IKB|17.3|Intel|Core i5 7200U|8|1|HDD|No OS|Green
HP|Probook 440|14.0|Intel|Core i7 8550U|8|256|SSD|Windows 10|Gold
Dell|Latitude 5490|14.0|Intel|Core i5 8250U|8|256|SSD|Windows 10|White
Dell|Inspiron 5379|13.3|Intel|Core i7 8550U|16|512|SSD|Windows 10|Silver
Dell|Inspiron 3576|15.6|Intel|Core i5 8250U|8|256|SSD|Linux|Blue
Lenovo|Yoga 520-14IKB|14.0|Intel|Core i5 8250U|8|256|SSD|Windows 10|Green
Toshiba|Portege Z30-C-16L|13.3|Intel|Core i7 6500U|8|256|SSD|Windows 10|Green
HP|ProBook 450|15.6|Intel|Core i5 8250U|8|1|HDD|Windows 10|Black
Dell|Alienware 17|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Green
Acer|Aspire E5-576G|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|Green
Dell|Inspiron 5567|15.6|Intel|Core i7 7500U|16|1|HDD|Windows 10|White
Asus|Vivobook X541UV-DM1217T|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|White
Asus|K756UX-T4340T|17.3|Intel|Core i5 7200U|8|256|SSD|Windows 10|Gold
HP|ZBook 15u|15.6|Intel|Core i7 7500U|8|1|HDD|Windows 10|Gray
Asus|Pro P2540UA-XO0198T|15.6|Intel|Core i3 7100U|4|1|HDD|Windows 10|Black
HP|15-rb013nv|15.6|AMD|E-Series 9000e|4|500|HDD|Windows 10|Silver
Lenovo|Legion Y720-15IKB|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Blue
Dell|Vostro 5468|14.0|Intel|Core i5 7200U|8|256|SSD|Windows 10|White
Acer|Aspire R7|13.3|Intel|Core i5 6200U|8|256|SSD|Windows 10|Green
Dell|Inspiron 5567|15.6|Intel|Core i7 7500U|16|256|SSD|Linux|Gray
Acer|Aspire A315-51|15.6|Intel|Core i3 6006U|4|1|HDD|Linux|Blue
Asus|X555QG-DM242T|15.6|AMD|A10-Series A10-9620P|4|128|SSD|Windows 10|Silver
Asus|ROG G703VI-E5062T|17.3|Intel|Core i7 7820HK|32|512|SSD|Windows 10|White
Acer|Nitro AN515-51|15.6|Intel|Core i5 7300HQ|8|256|SSD|Windows 10|Gold
Lenovo|IdeaPad 320-15ISK|15.6|Intel|Core i3 6006U|8|128|SSD|Windows 10|Silver
Asus|VivoBook Pro|17.3|Intel|Core i7 8550U|8|128|SSD|Windows 10|Gold
Asus|F756UX-T4201D|17.3|Intel|Core i7 7500U|8|128|SSD|No OS|Gray
Dell|Inspiron 5577|15.6|Intel|Core i5 7300HQ|8|256|SSD|Windows 10|Gold
Lenovo|Yoga 910-13IKB|13.9|Intel|Core i7 7500U|8|256|SSD|Windows 10|White
Dell|Inspiron 5570|15.6|Intel|Core i7 8550U|8|128|SSD|Windows 10|White
HP|15-bs015dx|15.6|Intel|Core i5 7200U|8|1|HDD|Windows 10|White
Asus|Rog G701VIK-BA060T|17.3|Intel|Core i7 7820HK|16|256|SSD|Windows 10|Green
HP|ProBook 430|13.3|Intel|Core i5 8250U|4|500|HDD|Windows 10|Gold
Apple|MacBook Pro|13.3|Intel|Core i5|8|512|SSD|macOS|Gold
Dell|Inspiron 5579|15.6|Intel|Core i7 8550U|8|1|HDD|Windows 10|Gray
Asus|ROG G752VSK-GC493T|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Green
Asus|X505BP-BR019T|15.6|AMD|A9-Series 9420|4|1|HDD|Windows 10|White
Lenovo|Yoga 920-13IKB|13.9|Intel|Core i7 8550U|8|512|SSD|Windows 10|Gold
Acer|Aspire 5|17.3|Intel|Core i3 7130U|4|256|SSD|Windows 10|Gray
Dell|Vostro 5370|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Silver
HP|15-BW094nd|15.6|AMD|A6-Series A6-9220|8|128|SSD|Windows 10|Silver
HP|Envy 17-U275cl|17.3|Intel|Core i7 8550U|16|1|HDD|Windows 10|Black
MSI|GT73EVR 7RE|17.3|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|Gray
Lenovo|Yoga 720-15IKB|15.6|Intel|Core i7 7700HQ|8|512|SSD|Windows 10|Gold
Dell|Inspiron 5770|17.3|Intel|Core i7 8550U|8|128|SSD|Windows 10|White
Lenovo|IdeaPad 320-15ISK|15.6|Intel|Core i3 6006U|4|256|SSD|No OS|Green
HP|ProBook 450|15.6|Intel|Core i5 8250U|4|500|HDD|Windows 10|Black
Dell|Vostro 3568|15.6|Intel|Core i5 7200U|4|1|HDD|Windows 10|Black
Dell|Inspiron 3567|15.6|Intel|Core i5 7200U|8|1|HDD|Windows 10|Gray
Dell|Inspiron 5579|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Silver
Asus|ZenBook Flip|13.3|Intel|Core i7 8550U|8|512|SSD|Windows 10|Gold
Lenovo|IdeaPad 320-15IKBN|15.6|Intel|Core i5 7200U|4|1|HDD|No OS|Blue
HP|Probook 470|17.3|Intel|Core i7 8550U|8|1|HDD|Windows 10|Green
Lenovo|V330-15IKB|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Blue
Apple|MacBook Pro|13.3|Intel|Core i5|8|512|SSD|macOS|Gray
Asus|Rog Strix|17.3|AMD|Ryzen 1700|16|256|SSD|Windows 10|Black
Dell|Inspiron 3576|15.6|Intel|Core i7 8550U|8|256|SSD|Linux|Silver
Lenovo|ThinkPad X1|14.0|Intel|Core i7 6600U|16|512|SSD|Windows 10|Silver
Toshiba|Satellite Pro|15.6|Intel|Core i7 6500U|8|500|HDD|Windows 10|Black
Dell|Inspiron 5567|15.6|Intel|Core i7 7500U|12|1|HDD|Windows 10|Gray
Dell|Inspiron 5770|17.3|Intel|Core i7 8550U|8|128|SSD|Linux|Green
Acer|Aspire A515-51G|15.6|Intel|Core i7 8550U|8|1|HDD|Windows 10|Green
Lenovo|IdeaPad 320-17ISK|17.3|Intel|Core i3 6006U|4|1|HDD|Windows 10|Green
Lenovo|IdeaPad 320-17IKBR|17.3|Intel|Core i7 8550U|8|2|HDD|No OS|Gold
Lenovo|IdeaPad 320-17IKB|17.3|Intel|Core i7 7500U|6|128|SSD|Windows 10|Blue
Dell|Inspiron 3567|15.6|Intel|Core i3 6006U|4|1|HDD|Linux|Black
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i5 7300HQ|8|256|SSD|Windows 10|Blue
Lenovo|Ideapad 320-15IKBN|15.6|Intel|Core i5 7200U|6|256|SSD|Windows 10|Black
Acer|Aspire A517-51G|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Black
Acer|SP315-51|15.6|Intel|Core i7 7500U|12|1|HDD|Windows 10|Silver
Lenovo|Thinkpad T570|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|Black
Asus|VivoBook S15|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Black
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Silver
Lenovo|IdeaPad 320-15IKB|15.6|Intel|Core i7 7500U|8|1|HDD|No OS|Gold
Acer|Chromebook C910-C2ST|15.6|Intel|Celeron Dual Core 3205U|2|16|SSD|Chrome OS|Blue
